val_inc_L1	val_inc_L2	val_inc_L3	val_con_L1	val_con_L2	val_con_L3	ivl_inc_L1	ivl_inc_L2	ivl_inc_L3	ivl_con_L1	ivl_con_L2	ivl_con_L3	ctr_inc_L1	ctr_inc_L2	ctr_inc_L3	ctr_con_L1	ctr_con_L2	ctr_con_L3	non_inc_L1	non_inc_L2	non_inc_L3	non_con_L1	non_con_L2	non_con_L3	
0.958	0.938	0.938	0.000	0.042	0.000	1.000	1.000	0.917	0.000	0.167	0.000	1.000	0.917	0.833	0.000	0.000	0.083	0.833	0.917	1.000	0.083	0.000	0.000	
0.917	0.938	0.979	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0.833	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.917	
0.812	0.938	0.875	0.958	1.000	0.979	0.917	0.750	0.917	0.917	1.000	1.000	0.667	0.833	0.750	0.833	1.000	1.000	0.750	0.917	0.667	1.000	0.917	1.000	
0.833	0.938	0.958	1.000	0.979	1.000	0.833	1.000	0.917	1.000	1.000	1.000	0.917	0.833	1.000	1.000	1.000	1.000	1.000	0.750	0.833	1.000	1.000	1.000	
0.833	0.896	0.854	0.958	0.875	0.896	0.833	0.917	0.917	0.750	0.833	1.000	0.917	0.917	0.750	1.000	1.000	0.917	0.833	1.000	0.833	0.917	0.833	0.917	
0.917	0.958	0.917	0.917	0.938	1.000	0.917	0.917	1.000	1.000	0.917	0.833	0.833	0.917	1.000	1.000	1.000	0.833	1.000	0.750	0.917	0.917	1.000	1.000	
0.917	0.958	0.958	1.000	0.979	1.000	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.917	0.750	0.917	0.917	1.000	1.000	
0.812	0.729	0.792	0.833	0.833	0.729	0.750	0.750	0.583	0.667	0.667	0.833	0.667	0.667	0.833	0.667	0.750	0.833	0.667	0.833	0.833	0.917	0.833	0.833	
0.979	1.000	0.896	1.000	0.979	1.000	1.000	0.917	0.917	1.000	1.000	0.917	1.000	0.833	0.833	1.000	1.000	1.000	0.833	0.917	0.917	1.000	1.000	1.000	
0.917	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
0.958	0.958	0.979	0.958	0.979	0.958	0.750	0.917	0.833	1.000	1.000	0.833	1.000	0.917	0.917	1.000	1.000	0.917	1.000	0.917	0.667	1.000	0.917	1.000	
0.979	0.958	0.979	0.958	1.000	0.958	1.000	0.917	0.917	0.917	1.000	1.000	0.833	1.000	0.833	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	0.917	
1.000	1.000	0.979	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
0.792	0.896	0.938	1.000	1.000	1.000	0.750	0.833	0.917	1.000	1.000	1.000	0.583	0.583	0.583	0.917	1.000	1.000	0.833	0.500	0.667	1.000	1.000	1.000	
1.000	0.979	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
0.896	1.000	0.979	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	0.833	0.917	0.917	1.000	1.000	1.000	1.000	0.917	0.917	1.000	0.917	0.917	
0.979	0.979	0.979	0.958	0.979	1.000	0.917	1.000	1.000	0.917	1.000	1.000	0.917	1.000	1.000	1.000	1.000	0.917	1.000	1.000	0.917	1.000	1.000	1.000	
0.938	0.958	0.958	0.979	0.938	0.979	0.917	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	0.917	0.917	0.917	1.000	
0.771	0.875	0.729	1.000	1.000	1.000	0.667	0.750	0.750	1.000	1.000	1.000	0.917	0.750	0.750	1.000	1.000	1.000	0.917	0.917	0.750	1.000	1.000	1.000	
0.958	0.917	0.958	0.979	1.000	0.979	1.000	0.917	1.000	0.917	1.000	1.000	1.000	0.917	0.917	0.917	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	
0.938	0.958	1.000	0.958	0.979	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	1.000	
0.896	0.896	0.917	0.958	0.979	0.979	1.000	0.917	0.833	1.000	0.833	1.000	0.917	0.917	0.833	1.000	0.917	1.000	0.750	0.917	0.833	1.000	1.000	1.000	
0.938	0.938	0.938	0.979	1.000	1.000	0.917	1.000	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.917	
1.000	0.979	0.938	0.979	1.000	0.979	0.917	1.000	0.917	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	0.917	1.000	1.000	0.833	1.000	1.000	
0.979	0.875	0.896	0.896	0.896	0.958	0.833	1.000	0.917	0.833	0.833	1.000	0.917	0.917	0.750	1.000	1.000	0.833	1.000	0.833	0.833	0.917	0.917	1.000	
0.917	0.979	0.938	1.000	0.979	1.000	0.833	0.833	0.667	1.000	1.000	1.000	0.917	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	
0.958	0.833	0.958	1.000	0.958	0.979	0.917	1.000	0.833	0.917	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	0.917	0.917	0.917	1.000	1.000	0.917	
0.896	0.833	0.917	1.000	1.000	1.000	0.917	0.750	1.000	1.000	1.000	1.000	0.917	0.833	0.583	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.917	1.000	
0.917	0.938	0.958	0.979	1.000	0.979	0.917	0.833	1.000	0.917	1.000	1.000	0.917	0.750	0.833	1.000	0.917	1.000	0.917	0.917	0.750	1.000	1.000	1.000	
0.896	0.896	0.896	0.979	0.979	1.000	0.667	0.750	0.583	1.000	0.917	1.000	0.750	0.917	0.583	1.000	0.917	1.000	0.750	0.917	0.917	1.000	0.917	0.917	
0.875	0.917	0.875	1.000	1.000	1.000	0.750	1.000	0.917	1.000	1.000	1.000	0.917	1.000	0.833	1.000	1.000	1.000	0.833	0.917	0.833	1.000	1.000	1.000	
0.875	0.833	0.896	0.979	1.000	1.000	0.917	0.833	1.000	1.000	1.000	1.000	0.833	0.917	0.917	0.917	1.000	1.000	0.833	1.000	0.917	1.000	1.000	1.000	
